base,present,past,participle,adjective
compassionate,compassionating,compassionated,compassionated,compassionateable
compear,compearing,compeared,compeared,compearable
compeer,compeering,compeered,compeered,compeerable
compel,compelling,compelled,compelled,compelable
compendiate,compendiating,compendiated,compendiated,compendiateable
compenetrate,compenetrating,compenetrated,compenetrated,compenetrateable
compensate,compensating,compensated,compensated,compensateable
compense,compensing,compensed,compensed,compenseable
compere,compering,compered,compered,compereable
compesce,compescing,compesced,compesced,compesceable
compete,competing,competed,competed,competeable
compilate,compilating,compilated,compilated,compilateable
compile,compiling,compiled,compiled,compileable
compinge,compinging,compinged,compinged,compingeable
complain,complaining,complained,complained,complainable
complanate,complanating,complanated,complanated,complanateable
compleat,compleating,compleated,compleated,compleatable
complect,complecting,complected,complected,complectable
complement,complementing,complemented,complemented,complementable
complementize,complementizing,complementized,complementized,complementizeable
complete,completing,completed,completed,completeable
complex,complexing,complexed,complexed,complexable
complexify,complexifying,complexified,complexified,complexifyable
complicate,complicating,complicated,complicated,complicateable
compliment,complimenting,complimented,complimented,complimentable
complot,complotting,complotted,complotted,complotable
comply,complying,complied,complied,complyable
compone,componing,componed,componed,componeable
componentize,componentizing,componentized,componentized,componentizeable
comport,comporting,comported,comported,comportable
compose,composing,composed,composed,composeable
composite,compositing,composited,composited,compositeable
compost,composting,composted,composted,compostable
compound,compounding,compounded,compounded,compoundable
comprehend,comprehending,comprehended,comprehended,comprehendible
compress,compressing,compressed,compressed,compressable
comprint,comprinting,comprinted,comprinted,comprintable
comprize,comprising,comprised,comprised,compriseable
comprize,comprizing,comprized,comprized,comprizeable
comprobate,comprobating,comprobated,comprobated,comprobateable
compromize,compromising,compromised,compromised,compromiseable
compromit,compromitting,compromitted,compromitted,compromitable
comproportionate,comproportionating,comproportionated,comproportionated,comproportionateable
compt,compting,compted,compted,comptible
comptrol,comptrolling,comptrolled,comptrolled,comptrolable
compute,computing,computed,computed,computeable
computerize,computerising,computerised,computerised,computeriseable
computerize,computerizing,computerized,computerized,computerizeable
comrade,comrading,comraded,comraded,comradeable
