base,present,past,participle,adjective
con,conning,conned,conned,conable
conacre,conacring,conacred,conacred,conacreable
concamerate,concamerating,concamerated,concamerated,concamerateable
concatenate,concatenating,concatenated,concatenated,concatenateable
concave,concaving,concaved,concaved,concaveable
conceal,concealing,concealed,concealed,concealable
conceave,conceaving,conceaved,conceaved,conceaveable
concede,conceding,conceded,conceded,concedeable
conceipt,conceipting,conceipted,conceipted,conceiptable
conceit,conceiting,conceited,conceited,conceitable
conceive,conceiving,conceived,conceived,conceiveable
concelebrate,concelebrating,concelebrated,concelebrated,concelebrateable
concenter,concentering,concentered,concentered,concenterable
concentrate,concentrating,concentrated,concentrated,concentrateable
concentre,concentring,concentred,concentred,concentreable
conceptualize,conceptualising,conceptualised,conceptualised,conceptualiseable
conceptualize,conceptualizing,conceptualized,conceptualized,conceptualizeable
concern,concerning,concerned,concerned,concernable
concert,concerting,concerted,concerted,concertable
concertina,concertinaing,concertinaed,concertinaed,concertinaible
concertize,concertizing,concertized,concertized,concertizeable
concession,concessioning,concessioned,concessioned,concessionable
conch,conching,conched,conched,conchable
conciliate,conciliating,conciliated,conciliated,conciliateable
concinnate,concinnating,concinnated,concinnated,concinnateable
conclude,concluding,concluded,concluded,concludeable
concoct,concocting,concocted,concocted,concoctible
concomitate,concomitating,concomitated,concomitated,concomitateable
concord,concording,concorded,concorded,concordable
concorporate,concorporating,concorporated,concorporated,concorporateable
concreate,concreating,concreated,concreated,concreateable
concrete,concreting,concreted,concreted,concreteable
concretize,concretising,concretised,concretised,concretiseable
concretize,concretizing,concretized,concretized,concretizeable
concrew,concrewing,concrewed,concrewed,concrewable
conculcate,conculcating,conculcated,conculcated,conculcateable
concur,concurring,concurred,concurred,concurable
concuss,concussing,concussed,concussed,concussible
cond,conding,conded,conded,condable
conde,conding,conded,conded,condeable
condemn,condemning,condemned,condemned,condemnable
condence,condencing,condenced,condenced,condenceable
condensate,condensating,condensated,condensated,condensateable
condenscend,condenscending,condenscended,condenscended,condenscendable
condense,condensing,condensed,condensed,condenseable
condescend,condescending,condescended,condescended,condescendable
condite,conditing,condited,condited,conditeable
condition,conditioning,conditioned,conditioned,conditionable
conditionalize,conditionalizing,conditionalized,conditionalized,conditionalizeable
conditionate,conditionating,conditionated,conditionated,conditionateable
condole,condoling,condoled,condoled,condoleable
condone,condoning,condoned,condoned,condoneable
conduce,conducing,conduced,conduced,conduceable
conduct,conducting,conducted,conducted,conductible
cone,coning,coned,coned,coneable
confab,confabbing,confabbed,confabbed,confabible
confabulate,confabulating,confabulated,confabulated,confabulateable
confect,confecting,confected,confected,confectable
confection,confectioning,confectioned,confectioned,confectionable
confeder,confedering,confedered,confedered,confederable
confederate,confederating,confederated,confederated,confederateable
confer,conferring,conferred,conferred,conferable
conference,conferencing,conferenced,conferenced,conferenceable
conferruminate,conferruminating,conferruminated,conferruminated,conferruminateable
confess,confessing,confessed,confessed,confessable
confessionalize,confessionalising,confessionalised,confessionalised,confessionaliseable
confessionalize,confessionalizing,confessionalized,confessionalized,confessionalizeable
confide,confiding,confided,confided,confideable
configurate,configurating,configurated,configurated,configurateable
configure,configuring,configured,configured,configureable
confine,confining,confined,confined,confineable
confirm,confirming,confirmed,confirmed,confirmable
confirme,confirming,confirmed,confirmed,confirmeable
confiscate,confiscating,confiscated,confiscated,confiscateable
confix,confixing,confixed,confixed,confixable
conflagrate,conflagrating,conflagrated,conflagrated,conflagrateable
conflate,conflating,conflated,conflated,conflateable
conflict,conflicting,conflicted,conflicted,conflictable
conform,conforming,conformed,conformed,conformable
confound,confounding,confounded,confounded,confoundable
confront,confronting,confronted,confronted,confrontable
confuddle,confuddling,confuddled,confuddled,confuddleable
confuscate,confuscating,confuscated,confuscated,confuscateable
confuse,confusing,confused,confused,confuseable
confusticate,confusticating,confusticated,confusticated,confusticateable
confute,confuting,confuted,confuted,confuteable
confuzzle,confuzzling,confuzzled,confuzzled,confuzzleable
conga,congaing,congaed,congaed,congaible
conge,conging,conged,conged,congeable
congeal,congealing,congealed,congealed,congealable
congenerate,congenerating,congenerated,congenerated,congenerateable
congenialize,congenializing,congenialized,congenialized,congenializeable
congest,congesting,congested,congested,congestible
conglaciate,conglaciating,conglaciated,conglaciated,conglaciateable
conglobate,conglobating,conglobated,conglobated,conglobateable
conglobe,conglobing,conglobed,conglobed,conglobeable
conglobulate,conglobulating,conglobulated,conglobulated,conglobulateable
conglomerate,conglomerating,conglomerated,conglomerated,conglomerateable
conglutinate,conglutinating,conglutinated,conglutinated,conglutinateable
congratulate,congratulating,congratulated,congratulated,congratulateable
congree,congreeing,congreed,congreed,congreeable
congregate,congregating,congregated,congregated,congregateable
congrue,congruing,congrued,congrued,congrueable
conject,conjecting,conjected,conjected,conjectable
conjecture,conjecturing,conjectured,conjectured,conjectureable
conjoin,conjoining,conjoined,conjoined,conjoinable
conjugate,conjugating,conjugated,conjugated,conjugateable
conjure,conjuring,conjured,conjured,conjureable
conk,conking,conked,conked,conkable
conn,conning,conned,conned,connable
connaturalize,connaturalizing,connaturalized,connaturalized,connaturalizeable
connect,connecting,connected,connected,connectable
connex,connexing,connexed,connexed,connexable
connive,conniving,connived,connived,conniveable
connotate,connotating,connotated,connotated,connotateable
connote,connoting,connoted,connoted,connoteable
conquassate,conquassating,conquassated,conquassated,conquassateable
conquer,conquering,conquered,conquered,conquerable
conquest,conquesting,conquested,conquested,conquestable
cons,consing,consed,consed,consable
consarn,consarning,consarned,consarned,consarnable
conscion,conscioning,conscioned,conscioned,conscionable
conscribe,conscribing,conscribed,conscribed,conscribeable
conscript,conscripting,conscripted,conscripted,conscriptable
consecrate,consecrating,consecrated,consecrated,consecrateable
consecute,consecuting,consecuted,consecuted,consecuteable
consense,consensing,consensed,consensed,consenseable
consent,consenting,consented,consented,consentable
consequence,consequencing,consequenced,consequenced,consequenceable
conservate,conservating,conservated,conservated,conservateable
conservatize,conservatising,conservatised,conservatised,conservatiseable
conservatize,conservatizing,conservatized,conservatized,conservatizeable
conserve,conserving,conserved,conserved,conserveable
consider,considering,considered,considered,considerable
considre,considring,considred,considred,considreable
consign,consigning,consigned,consigned,consignable
consignify,consignifying,consignified,consignified,consignifyable
consist,consisting,consisted,consisted,consistable
consociate,consociating,consociated,consociated,consociateable
consolate,consolating,consolated,consolated,consolateable
console,consoling,consoled,consoled,consoleable
consolidate,consolidating,consolidated,consolidated,consolidateable
consonantize,consonantizing,consonantized,consonantized,consonantizeable
consopite,consopiting,consopited,consopited,consopiteable
consort,consorting,consorted,consorted,consortable
conspire,conspiring,conspired,conspired,conspireable
conspurcate,conspurcating,conspurcated,conspurcated,conspurcateable
constate,constating,constated,constated,constateable
constellate,constellating,constellated,constellated,constellateable
conster,constering,constered,constered,consterable
consternate,consternating,consternated,consternated,consternateable
constipate,constipating,constipated,constipated,constipateable
constitute,constituting,constituted,constituted,constituteable
constitutionalize,constitutionalising,constitutionalised,constitutionalised,constitutionaliseable
constitutionalize,constitutionalizing,constitutionalized,constitutionalized,constitutionalizeable
constrain,constraining,constrained,constrained,constrainable
constrict,constricting,constricted,constricted,constrictable
constringe,constringing,constringed,constringed,constringeable
construct,constructing,constructed,constructed,constructable
construe,construing,construed,construed,construeable
constuprate,constuprating,constuprated,constuprated,constuprateable
consubstantiate,consubstantiating,consubstantiated,consubstantiated,consubstantiateable
consult,consulting,consulted,consulted,consultable
consume,consuming,consumed,consumed,consumeable
consumerize,consumerizing,consumerized,consumerized,consumerizeable
consummate,consummating,consummated,consummated,consummateable
contact,contacting,contacted,contacted,contactible
contain,containing,contained,contained,containable
containerize,containerising,containerised,containerised,containeriseable
containerize,containerizing,containerized,containerized,containerizeable
contaminate,contaminating,contaminated,contaminated,contaminateable
contemn,contemning,contemned,contemned,contemnible
contemper,contempering,contempered,contempered,contemperable
contemperate,contemperating,contemperated,contemperated,contemperateable
contemplate,contemplating,contemplated,contemplated,contemplateable
contemporize,contemporizing,contemporized,contemporized,contemporizeable
contend,contending,contended,contended,contendable
content,contenting,contented,contented,contentable
contest,contesting,contested,contested,contestable
contex,contexing,contexed,contexed,contexable
context,contexting,contexted,contexted,contextible
contextualize,contextualising,contextualised,contextualised,contextualiseable
contextualize,contextualizing,contextualized,contextualized,contextualizeable
continue,continuing,continued,continued,continueable
contort,contorting,contorted,contorted,contortable
contraband,contrabanding,contrabanded,contrabanded,contrabandable
contracept,contracepting,contracepted,contracepted,contraceptable
contract,contracting,contracted,contracted,contractable
contradict,contradicting,contradicted,contradicted,contradictable
contradistinguish,contradistinguishing,contradistinguished,contradistinguished,contradistinguishable
contraindicate,contraindicating,contraindicated,contraindicated,contraindicateable
contrary,contrarying,contraried,contraried,contraryable
contrast,contrasting,contrasted,contrasted,contrastable
contravene,contravening,contravened,contravened,contraveneable
contribute,contributing,contributed,contributed,contributeable
contrist,contristing,contristed,contristed,contristable
contristate,contristating,contristated,contristated,contristateable
contrive,contriving,contrived,contrived,contriveable
control,controlling,controlled,controlled,controlable
controul,controulling,controulled,controulled,controulable
controull,controulling,controulled,controulled,controullable
controverse,controversing,controversed,controversed,controverseable
controvert,controverting,controverted,controverted,controvertable
